"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC6A9",3.50499655923242,0.0927208149213519,9.96374286653306,2.15403945091718e-14,7.19042879872547e-12,22.4962218233208
"TSPAN5",3.99595911755553,2.60920204036094,9.92947409577179,2.45523948614719e-14,7.86699652019662e-12,22.3683883854104
"TACC1",1.47060194932417,7.30097140095113,9.84464363400131,3.39636513336732e-14,1.02184836424878e-11,22.0514244586645
"ASAP2",1.45122722923998,4.43771701752984,9.80358007151544,3.97500990853413e-14,1.09170807845098e-11,21.8977307818128
"HMGA2",6.07489908379761,0.468509251466264,9.78049758689206,4.34285142565551e-14,1.16499514406829e-11,21.8112630000226
"GXYLT2",4.13924900322068,-0.211275049604397,9.76215565860666,4.6594376665721e-14,1.22151394281612e-11,21.7425157569076
"ABCC5",1.26248434940065,4.98368205677782,9.72166104933626,5.44312605490996e-14,1.33588210730609e-11,21.5906207372269
"HSDL1",1.54416131609515,4.29291759278846,9.61785151348411,8.11388035387236e-14,1.83516882121407e-11,21.2005045646673
"CD34",2.20376233644971,4.43616676555656,9.56681297135239,9.87708907947445e-14,2.11565934288038e-11,21.0083254633477
"TRPC1",1.84421648516462,3.02116932641314,9.55929974625513,1.01673809485231e-13,2.13237707711298e-11,20.9800147811385
"LEF1",3.2126957112043,2.14037627028344,9.53414224095412,1.12033704296333e-13,2.26720838431264e-11,20.8851803234312
"CACNB4",4.48126723511959,1.718518082985,9.51968364507958,1.18461804313598e-13,2.35596019440923e-11,20.8306503468511
"PLCG1",1.72451953362292,5.55363809122205,9.51176251912831,1.22139442258307e-13,2.38792960415182e-11,20.8007680201613
"FAM3B",4.24767644353511,3.41701231326968,9.42051203127065,1.73773647168376e-13,3.11028414249475e-11,20.4561168431113
"ITGA2",3.69759291295976,2.853684644419,9.38154877585505,2.02051998370281e-13,3.37778232058144e-11,20.3087272394506
"IGDCC4",3.73545731375488,1.22661864136459,9.37163773448004,2.09955828704154e-13,3.43982611153146e-11,20.2712146740996
"SLC25A36",1.83007931926019,5.42417883313841,9.34811485081671,2.29982346491371e-13,3.49058732470785e-11,20.1821481270217
"PTPRG",1.43861747598317,6.09994040753289,9.25617129994677,3.28502197844633e-13,4.85804211812544e-11,19.8335614202212
"IGF2BP1",4.75644998079337,3.73333230395912,9.24712456879009,3.4024377027858e-13,4.96798973438407e-11,19.7992240506361
"PTPN14",2.07845697124616,4.23159543941132,9.15856112363848,4.80007942921302e-13,6.3642432432152e-11,19.4627229485999
"MAGED1",1.56237756123869,7.13150100589412,9.14904294107459,4.98112000136235e-13,6.4865717378415e-11,19.4265205610021
"ZNF704",1.50831671298216,5.40941579554606,9.07076366289204,6.75575601757308e-13,8.37931673792532e-11,19.1285161529309
"CDH13",3.19480048578467,1.72273779747003,9.05803772000121,7.09918705675756e-13,8.61990765259984e-11,19.0800246103541
"TNFRSF19",3.65723983776516,4.39666666475636,8.98076902386198,9.59559833793081e-13,1.12944109008196e-10,18.7853355783366
"SLC26A2",1.38039969143767,3.89026548534591,8.97267197113203,9.90366987774011e-13,1.15392759636093e-10,18.7544293906978
"PODXL",1.98183466631387,4.92354403753388,8.93574948560308,1.14394027459083e-12,1.29667666412194e-10,18.613437547233
"ZNF703",2.32824351268783,2.82751731233893,8.92012951054604,1.21591052565469e-12,1.36170173916765e-10,18.5537620144001
"PEG10",3.74297145131785,7.78353144722682,8.80803151907207,1.88485987819082e-12,1.99466593531479e-10,18.1250016988157
"PTP4A3",2.65418811062806,2.73275230900173,8.79416074486645,1.9900362853277e-12,2.08682441375046e-10,18.0718892028106
"ZBTB46",1.26468656726859,2.40815451976273,8.7826983545596,2.08138506154185e-12,2.16295285449417e-10,18.0279891824426
"KCNN3",2.40565142571186,1.81716450368842,8.74502071614673,2.41239012336526e-12,2.44095790114196e-10,17.8836274732951
"DKK1",6.53122805237343,1.9129035374927,8.72859284205916,2.57279855336434e-12,2.55838200974635e-10,17.8206560408018
"MAGED2",1.22915160885309,7.0243795584736,8.72310550263255,2.62873117869114e-12,2.59165932873524e-10,17.7996181863719
"SRC",1.65798402019017,4.79398712870566,8.65884303435877,3.38213385746799e-12,3.13701041764814e-10,17.5531060813094
"SMIM3",2.10914269619294,3.3932880905741,8.65551073026455,3.4266433690825e-12,3.13701041764814e-10,17.5403165414708
"CCND2",2.58068171099165,5.1003909946103,8.62166751936601,3.91338227652445e-12,3.44821324027172e-10,17.4103879452285
"PTK7",2.6359270510173,4.0355622750031,8.62149416844152,3.91604624599562e-12,3.44821324027172e-10,17.4097222573269
"DYNC1I1",4.54790476833595,-0.153845409700231,8.61559757494797,4.00775430469639e-12,3.502230750354e-10,17.3870776215617
"DLK1",6.52226713264287,3.3645409702353,8.58315624550082,4.55225433798861e-12,3.88964842879249e-10,17.2624582444936
"MAP4K4",1.69446337315731,7.68007168658468,8.53302314766045,5.54335993068918e-12,4.534940198617e-10,17.0697637413651
"RBP7",1.85638896974642,2.00045731291483,8.53083730561018,5.59119082067664e-12,4.54185817721867e-10,17.0613590284729
"KIAA1755",2.48407309208911,0.712820347465451,8.49094217400426,6.5407047727702e-12,5.09777226715570e-10,16.9079154959772
"APLN",3.9683634331267,0.485888884255314,8.4644354412009,7.25945532273806e-12,5.61998772803916e-10,16.8059208885105
"LUZP1",1.0195089853846,4.23212535148656,8.44294854741564,7.89986666390431e-12,5.91720532260625e-10,16.7232162836767
"RHOBTB2",1.67038955031574,3.0914369947632,8.44094124962023,7.96251452788682e-12,5.9256519405919e-10,16.7154888932747
"SALL2",2.10044750236017,2.27249514772011,8.40347836265487,9.22762616411022e-12,6.61122160267152e-10,16.5712344556064
"KCNJ5",4.0420368985667,0.769273934206067,8.36375806666709,1.07899671113182e-11,7.36463139816898e-10,16.4182160970531
"FMNL2",1.57525953773807,5.4972935952979,8.35870957150976,1.10066809789833e-11,7.46835677015131e-10,16.3987621719429
"ATP10A",2.75449095005075,2.22184774621786,8.34597290849069,1.15730198594308e-11,7.71646150742976e-10,16.3496775632209
"PEG3",2.9871679406512,7.1262548367414,8.33406809156023,1.21287686908447e-11,7.99459124850822e-10,16.3037923070687
"CLIP2",1.98178922008994,3.03206907722657,8.31971069013856,1.28347344909071e-11,8.31734058160747e-10,16.2484458242267
"AP3M2",1.05330673541645,3.68409360596097,8.28170656007937,1.49088069120362e-11,9.50127556521204e-10,16.1019015968781
"INPP5D",1.57713105990699,4.7155923674553,8.24280283112034,1.73806428112834e-11,1.08935048565523e-09,15.9518281678055
"MLLT6",1.13499168120146,6.58732394547465,8.24148577843288,1.74711608015794e-11,1.08935048565523e-09,15.9467465282211
"FGF13",3.05306018318434,1.63755211444033,8.23817825708877,1.7700568379776e-11,1.09185056823912e-09,15.93398468827
"ATP8B2",1.50949349463711,4.38631848788301,8.23384286094966,1.8005848552837e-11,1.10477373966476e-09,15.9172562360018
"UXS1",1.03601964342645,4.57727281466752,8.21634790291291,1.92923473588322e-11,1.14121654761092e-09,15.8497434583865
"DVL2",1.1203785296557,3.86594785042076,8.18249084987565,2.20496466675358e-11,1.28455896116175e-09,15.7190578728511
"CACNA1C",2.43825020996148,2.37290364713642,8.15869788328553,2.42205274415927e-11,1.37388227825703e-09,15.6271947951026
"FRZB",2.61850684957575,2.91866585535532,8.14365783846192,2.57020200166239e-11,1.43918835384348e-09,15.5691163143638
"GJC1",1.81401763828704,2.77611423433395,8.13607512770457,2.64830408883893e-11,1.46490332391002e-09,15.5398321768877
"AXIN2",2.93357505794156,3.41503926662534,8.09550464011488,3.10842518746812e-11,1.68336547124154e-09,15.3831195640068
"PCGF2",1.31371805052134,3.47393000023857,8.07383692225583,3.38615586277018e-11,1.80830129060435e-09,15.2994026780705
"NDRG3",1.01600275371424,4.01057421288785,8.06712968695892,3.47706749264836e-11,1.83141431633328e-09,15.2734853807993
"PLXNC1",1.97493803381074,4.12493338598147,8.05060667898351,3.71159571185624e-11,1.93725142698017e-09,15.2096337459513
"PEA15",1.18237985465102,6.46694364539607,8.0334739148746,3.97153183482813e-11,2.04516159440815e-09,15.1434178781954
"EPS8L3",4.42244109136626,0.214827411432936,8.0226363921654,4.14529646295334e-11,2.10945899357117e-09,15.1015282725682
"ADAM9",1.34884450557051,5.82806506568989,8.01515089525862,4.26974361506917e-11,2.12290916378547e-09,15.0725932768807
"GLUL",2.77784999464251,10.836781067635,7.99903228931385,4.5505716143945e-11,2.25282590437942e-09,15.0102824465477
"TP53BP1",1.03939418374597,5.02317674919489,7.98120963984373,4.8826800459632e-11,2.39666869490151e-09,14.9413768353363
"OXCT1",2.30555639725277,2.72211176604699,7.97069004132619,5.08998717444656e-11,2.46860504839199e-09,14.9007026656885
"SLC7A11",4.51358721622512,1.78580549848028,7.96057745463384,5.29758047370512e-11,2.55680296084471e-09,14.8615998553157
"ADAMTS6",2.27316994862241,0.987252097409017,7.93924819648132,5.76365977306695e-11,2.73595948486944e-09,14.7791177269448
"DNAJC18",1.30756643641949,1.90235460906938,7.92543226565714,6.08725897771823e-11,2.8427745873676e-09,14.7256852450778
"TBX2",1.72455823248129,3.13541067343615,7.91209224423448,6.41696732087196e-11,2.97267943960876e-09,14.6740897301192
"OSBPL3",1.70059322263119,3.32846999824494,7.89598847827752,6.83889852171851e-11,3.11805116395348e-09,14.6118003271788
"DLG3",1.3315048749597,3.88575792337273,7.89437439720647,6.88269124418785e-11,3.12392157384739e-09,14.6055567964879
"SLC26A6",1.58300154156091,3.20208363694606,7.89352174140679,6.90593845974064e-11,3.12392157384739e-09,14.6022585649844
"GNAS",1.04996465789057,8.70275971604558,7.8617055730248,7.83196661880102e-11,3.46239534862841e-09,14.4791787680079
"FGD1",1.76218292530796,1.48564973965922,7.86163062860284,7.83428856516701e-11,3.46239534862841e-09,14.4788888282743
"SERPINE2",2.18608551962516,5.15592352254837,7.85606611653435,8.00862906768821e-11,3.52593649983907e-09,14.4573609870744
"GJA5",2.44211327212609,2.3405034751258,7.84461315044753,8.37978087463272e-11,3.63955596652759e-09,14.4130505511923
"SLC7A6",1.8895652993254,4.48485310534368,7.8432688345486,8.4244598444982e-11,3.63955596652759e-09,14.4078493922817
"PDGFA",2.328237005641,3.65095751203315,7.80324535465581,9.86971672192728e-11,4.15500665647559e-09,14.2529870815649
"TMEM98",1.46602708749023,4.85067973354147,7.79527397417764,1.0185945151057e-10,4.25706077237109e-09,14.2221410842778
"PARD3B",1.75985813268993,4.84594137556051,7.78270559878449,1.07052672020133e-10,4.40684447560615e-09,14.1735051089057
"SFRP4",3.56974118385319,0.169240706636216,7.78199623109135,1.07353558530154e-10,4.40684447560615e-09,14.1707600094342
"PLVAP",2.62870121411864,3.74998313479255,7.76085402509361,1.16720543901877e-10,4.72411043476544e-09,14.0889418800064
"ARHGEF2",1.18106789485616,4.65741736973939,7.75461368448787,1.19638574912409e-10,4.82528308256865e-09,14.0647915905018
"KSR1",1.3593412747652,4.0525044120391,7.72276332404116,1.35709053294341e-10,5.32450316241572e-09,13.9415247688895
"SMYD2",1.17251776331121,5.49933855908255,7.71337305728674,1.40847050425107e-10,5.48875245491086e-09,13.9051812803576
"BMF",1.9017833482238,4.4191077863906,7.71028035621788,1.425815170284e-10,5.53647407006625e-09,13.8932113663346
"KCTD7",1.10725852852217,3.52013004704694,7.70948400736748,1.43031579790181e-10,5.53647407006625e-09,13.8901291880854
"MARCKS",1.37325835126508,7.4247227394595,7.66888464778995,1.67963309339649e-10,6.37321306984491e-09,13.7329897597681
"MAPK13",1.71808906104288,4.18412931693319,7.65655132645694,1.76365722476124e-10,6.6266404194205e-09,13.6852525261643
"APH1B",1.26407668247275,3.92900112389828,7.64986086478117,1.81098400185544e-10,6.77022775542579e-09,13.6593563362035
"LZTS2",1.02972449640243,3.8881448687092,7.63836842366029,1.89526347751161e-10,7.05221426228916e-09,13.614873360762
"UTRN",1.17948378981608,6.89137967218293,7.63387575488557,1.92926717665878e-10,7.13272335985867e-09,13.5974838637397
"ITGA8",2.59071435248613,2.4646842462804,7.61803184471262,2.05413038184677e-10,7.47457222542667e-09,13.5361577386022
"CTHRC1",4.46052426310423,0.145031450732783,7.60137395922482,2.19413510287159e-10,7.87073354343625e-09,13.471681110567
"ARMC9",1.62425041995096,1.46132803197588,7.6006311870562,2.2005955038919e-10,7.87073354343625e-09,13.4688061166275
"ACLY",1.17752820865638,6.25791953254715,7.57285636378769,2.45633012505792e-10,8.63834390016556e-09,13.3613010164838
"CCL18",3.90552818212217,0.82787958569055,7.57086880853228,2.47573115290921e-10,8.68010907258593e-09,13.35360808123
"RHOBTB1",1.9155852188544,5.22690418594731,7.56694089238456,2.51452438455776e-10,8.74585571416061e-09,13.3384049222385
"HOXA3",3.2470612008072,0.523384092407414,7.56666926832561,2.5172293863037e-10,8.74585571416061e-09,13.3373535924946
"FER",1.23757754783836,4.62875530004037,7.5596559708974,2.58808879323085e-10,8.95495132948764e-09,13.3102085026839
"PDGFRB",1.98431147997269,5.99942234392067,7.5480946219997,2.70928075471818e-10,9.2460217472409e-09,13.2654605927787
"COL8A1",3.11133008901296,1.97873963327862,7.54039948635954,2.7930745891604e-10,9.50386884541746e-09,13.2356771499343
"HDAC11",1.3333514946814,2.49744979702368,7.53875655396362,2.81129782928276e-10,9.5368053099457e-09,13.2293183476331
"FSD1L",1.57215686932848,2.2495464535443,7.53803940076859,2.81928964949414e-10,9.5368053099457e-09,13.2265426843563
"NAP1L1",1.37410723641765,7.84666334828491,7.53134939999817,2.8949448534843e-10,9.76409031723432e-09,13.2006499182559
"LRRC1",1.56668592609742,3.28154907568813,7.53023542908372,2.90773812028937e-10,9.77864700219764e-09,13.1963384683549
"EPCAM",3.0277205577717,4.66378456557617,7.52033013235753,3.02400956374553e-10,1.01107102370448e-08,13.158001939909
"LGR5",3.24491150337819,4.49703517901541,7.51134629464192,3.13347986078131e-10,1.04464422526337e-08,13.1232323568367
"ROBO1",2.17378585732623,5.87163603208212,7.50007391601553,3.27645842171644e-10,1.08346162359025e-08,13.0796064909391
"LLGL1",1.40447301579069,2.33229218672596,7.49994785720133,3.27809368559165e-10,1.08346162359025e-08,13.079118629741
"NRIP2",2.24738965523542,1.08424711031699,7.49690669547025,3.31779258364862e-10,1.09344964149677e-08,13.0673490486391
"WFS1",1.27301955651137,3.27232611950801,7.49415336838198,3.35414854291207e-10,1.09915066597985e-08,13.0566934862846
"OSBPL7",1.31600698255762,2.07884498819388,7.48723777845874,3.44723081554279e-10,1.12010725231792e-08,13.029929995561
"OLFML2A",2.22205079921286,2.13481039496558,7.48457733809433,3.48372370673295e-10,1.12878519542597e-08,13.0196341529028
"NDN",1.89636338645688,3.16835734219985,7.47910980535616,3.55993804154639e-10,1.14703590249267e-08,12.9984751490572
"PAPSS1",1.2814369497067,4.57458251877693,7.46144579522288,3.81774202730303e-10,1.21440767839683e-08,12.930118717652
"BICD1",1.64548658105042,2.66079132180138,7.44811720254544,4.02455331122127e-10,1.26839405587261e-08,12.8785419173878
"DKK3",2.59557977251416,4.98086724407725,7.44585855136693,4.06069274399999e-10,1.27629675209918e-08,12.8698019763942
"CLIC1",1.00187824147087,6.85724700409708,7.38710762577773,5.12367931732863e-10,1.56353547421656e-08,12.6424882838863
"EBF1",2.08167405724115,2.34510957690592,7.36009090080264,5.70181918431324e-10,1.70949200473694e-08,12.5379766011271
"HIF1AN",1.10365505761664,5.50176117833084,7.32871538676206,6.45551467461936e-10,1.88517371574011e-08,12.4166210522021
"RNF157",2.14639419317634,0.869458352900497,7.3238554717974,6.58084811421473e-10,1.91692128781482e-08,12.3978255105298
"CD36",1.88066504650825,7.42256056102547,7.31979666153093,6.68738257349188e-10,1.93816477349821e-08,12.3821286096169
"EHMT2",1.28932874264023,3.88434215056337,7.31675138417213,6.76844386560706e-10,1.95674185438039e-08,12.3703516515929
"RASAL2",1.18523262387195,5.11075701379142,7.31474070272823,6.82250284129221e-10,1.96743925685764e-08,12.3625758862285
"ST8SIA3",3.29834565815256,0.954110876817326,7.31231705633632,6.8882383553955e-10,1.97651316988774e-08,12.3532032130014
"BCAM",2.05964951554752,5.34893075250919,7.30832992157811,6.99775911609317e-10,2.00295661052443e-08,12.3377845443973
"DNM3",1.78309978673418,0.867337147884824,7.29468610523868,7.3858647656257e-10,2.098422415554e-08,12.2850252968531
"STK39",1.43688333147149,2.53487926977281,7.27688512003989,7.92472650934331e-10,2.22205646644486e-08,12.2161975271018
"CS",1.03311196681066,6.73668061950375,7.27581368386736,7.9583856439578e-10,2.22205646644486e-08,12.2120550586651
"TARBP1",1.40453622224822,5.747445980472,7.27528232671418,7.97513114094646e-10,2.22205646644486e-08,12.2100006959853
"GPR161",1.60868012991454,1.78292586088069,7.26738081363732,8.22833718826283e-10,2.28708119196655e-08,12.1794522914432
"SLC25A35",1.37079865539671,1.39704138159122,7.26567896815211,8.28391555622828e-10,2.29699437358397e-08,12.1728729226971
"SLC6A8",2.09903887117871,1.35536501085647,7.26335416302178,8.36044476739661e-10,2.3082832855118e-08,12.1638853039089
"KIF3A",1.12668861991583,3.29707991972237,7.24709397523134,8.915813820582e-10,2.43098412913324e-08,12.1010280602478
"ZSWIM5",2.00764455038363,3.00874477864758,7.2465296268442,8.93573706764191e-10,2.43098412913324e-08,12.0988465816702
"CRIM1",1.21963118664383,6.66108799515003,7.2453793319193,8.97648381726139e-10,2.43632331369671e-08,12.0944001649677
"NOTCH3",2.34178722884456,3.97368898397805,7.23499233033721,9.35292678918479e-10,2.52070118021604e-08,12.0542513501268
"EPHA4",1.62066786485453,1.39585508953398,7.22112781693015,9.88007814114006e-10,2.63811808699191e-08,12.0006658228898
"STC2",2.66516264197626,1.8001667937497,7.21779539486078,1.00111429604975e-09,2.65467894366295e-08,11.9877870631143
"DDAH2",1.04086425763217,5.32579727964017,7.21387940284979,1.01673800906457e-09,2.68376955024251e-08,11.9726534212474
"SEMA3F",1.5469945494304,2.57846921323887,7.21036024383607,1.03098606197626e-09,2.70305103994482e-08,11.9590537715966
"MMP11",3.82684491666745,3.03998007086451,7.20120078645491,1.06901171909701e-09,2.77102251231101e-08,11.9236592223806
"NPTXR",2.57605275911358,0.818028941404099,7.19253206812246,1.1062889330463e-09,2.86122036831593e-08,11.8901634691029
"CSPG4",2.59251835327847,1.65404742601643,7.18546520608542,1.13763599862271e-09,2.91614027646955e-08,11.8628590576119
"ZNF738",1.60864580620142,1.56091522328402,7.18200014530851,1.15332870892867e-09,2.94789127802448e-08,11.8494716163246
"CHST15",1.18370475928719,4.91244152621104,7.16773890024001,1.22022334625085e-09,3.07489191197538e-08,11.7943768054685
"SP5",3.90647676332225,0.565981559987477,7.15897434386965,1.26324241517558e-09,3.16084626009767e-08,11.7605205613837
"LAMC1",1.46102347310727,7.07442486396163,7.15815992434744,1.26731590009074e-09,3.16417508821357e-08,11.7573747101278
"SMOC2",2.76371721084602,2.64398853646522,7.15714897276742,1.27239062504526e-09,3.1699839870188e-08,11.7534697487215
"ARID3A",2.46232579537541,3.37058209550933,7.13784592990583,1.37327355741656e-09,3.37036393293616e-08,11.6789156995923
"SPINK1",5.70564789640376,3.55963823999997,7.09051179666579,1.65574266949552e-09,3.97068434358229e-08,11.4961567791526
"KIT",2.10584228574417,2.42236725116246,7.0467575679676,1.96814218169192e-09,4.6617084324058e-08,11.3273013015355
"SLC1A4",1.61528751303892,4.24374597468717,7.03548938434128,2.05770505438605e-09,4.82431459397218e-08,11.2838288862314
"MFGE8",1.96407822126724,4.31005146790543,7.03230621721686,2.08373446123503e-09,4.86556214784333e-08,11.2715493373592
"PLCB4",1.63121306401685,1.07686296656477,7.03056834422156,2.0980837585249e-09,4.86741080585365e-08,11.2648454251695
"SOGA1",1.49779351364805,3.97441913623348,7.03016780080394,2.10140492528402e-09,4.86741080585365e-08,11.2633003331512
"SERPINI1",2.53905988139676,2.96801774442276,7.02492573507129,2.14535685622637e-09,4.939459348617e-08,11.2430798025976
"AACS",1.08139677043049,2.92956552256775,7.02350995216681,2.15738393069109e-09,4.95725570528322e-08,11.2376188379276
"ZNF775",1.59277232130841,2.82344156790805,7.0169116214213,2.21432999907764e-09,5.07799135971382e-08,11.2121689608493
"GNAL",2.31382612199802,1.37472573932646,7.01268602201344,2.25158359417238e-09,5.14297361559969e-08,11.1958718273342
"SLC6A6",1.38544216070751,3.94862389309499,7.0102117731272,2.27368652050897e-09,5.17297317831774e-08,11.1863296305443
"ITGAE",1.2277782235727,3.59157843601632,6.98978643140744,2.46461577787553e-09,5.52026077627073e-08,11.1075684773752
"MTR",1.07081817405201,6.51119101755095,6.97632074591431,2.59915231443112e-09,5.78788068474188e-08,11.0556553681784
"PIK3C2B",1.18071212981751,4.05626791561122,6.95400700479931,2.83840299506038e-09,6.18181812757921e-08,10.9696514519192
"PCYOX1L",1.1524770061026,2.22492109797606,6.9538721519243,2.83991371651901e-09,6.18181812757921e-08,10.969131766844
"GDF11",1.49461247143066,3.32770193485325,6.95383168290278,2.84036723677242e-09,6.18181812757921e-08,10.9689758107971
"TTLL1",1.29813671882578,0.271491239275063,6.94918890963119,2.8928792734441e-09,6.27243654495822e-08,10.9510844633957
"FAM217B",1.24507182543931,2.95401612747565,6.94834382162043,2.90254125449232e-09,6.28157849354013e-08,10.9478279630686
"LYZ",2.42680131549929,7.66578846660536,6.94771599516557,2.90974008821421e-09,6.28536552763125e-08,10.9454086928235
"MCTP1",2.21279006943383,3.39696697170283,6.93989572826406,3.00091563053795e-09,6.45812720116702e-08,10.9152757947329
"RPL37A",1.13380118165786,9.33955000464963,6.92630628837872,3.16618069458139e-09,6.78845619182088e-08,10.8629211031497
"RASL12",2.31597075494697,0.122149864663942,6.92472874752364,3.18594415850016e-09,6.81815693289412e-08,10.8568441228172
"COL4A1",2.06444697542095,7.73222780989026,6.92019856867118,3.24338473690354e-09,6.88995265933376e-08,10.8393937985724
"FLVCR1",1.44846588762561,4.1242302377259,6.91868112923427,3.26285510369874e-09,6.90587772865412e-08,10.8335488517277
"TUBG2",1.12077178136724,3.38339661426812,6.91422669839923,3.32068591869602e-09,6.98980147302164e-08,10.8163918025242
"NRXN3",3.6084215135917,1.89435971510882,6.90427461767934,3.45361004906122e-09,7.20386833922624e-08,10.778063598464
"GREB1",2.74765988977263,3.35009836440766,6.89505532573136,3.58147467027587e-09,7.4436595174112e-08,10.742562611051
"BMP4",3.0079006097126,2.83810803626855,6.89114574296426,3.63711254229538e-09,7.51865469092782e-08,10.7275093534207
"NRCAM",3.04036690791721,2.21399686083723,6.88398935198645,3.74119773538914e-09,7.70619926387746e-08,10.699957063574
"RPS3",1.14392385590784,9.12376394411942,6.86680048824523,4.00348991372446e-09,8.11603798854335e-08,10.6337918910237
"FGF12",2.22171290869668,0.141326912953117,6.84901472092835,4.29419629744913e-09,8.5995753977562e-08,10.5653478787154
"ERP27",2.39031486830451,0.668015047082876,6.84513880252604,4.36028821347799e-09,8.68500413516114e-08,10.5504349805682
"RPS23",1.0852088919917,9.37161593429701,6.84026171577945,4.4448942015292e-09,8.79448621177346e-08,10.5316713435193
"TFF3",2.00435641830849,1.01856603854083,6.82782457401012,4.66812859964949e-09,9.15762982941443e-08,10.4838286746541
"ANKRD50",1.06108156345047,5.42534200101724,6.82439670050266,4.73159609319496e-09,9.2506713449159e-08,10.4706442112131
"FABP4",2.67607972972979,2.36696433390186,6.82327884943797,4.75247860161708e-09,9.26254147481707e-08,10.466344838361
"MECOM",1.47568248779443,2.60332529221705,6.82110876871286,4.79328030677352e-09,9.32037179252043e-08,10.457998709693
"FRMD3",1.89509256890972,1.64572956209282,6.82077602774774,4.79956726897021e-09,9.32037179252043e-08,10.4567190151332
"LAMA3",2.31149974580274,4.03453883970603,6.80993232636557,5.00901274581784e-09,9.67821809430634e-08,10.4150189677386
"SH3RF3",1.46444165658095,2.82079334631764,6.79633601805636,5.28453770931872e-09,1.00423628462918e-07,10.3627445551708
"NYNRIN",1.71799109380746,4.94829300417037,6.77612417296698,5.72227237521415e-09,1.07339494106796e-07,10.2850580156899
"RAB34",1.46553338290039,3.62424522624197,6.77535945637205,5.7395251399549e-09,1.07476335210032e-07,10.2821192876044
"ESM1",3.21613856327712,1.60056133392936,6.76396047050858,6.0029268220959e-09,1.11683485311091e-07,10.2383189484061
"KIAA1549",2.05080157483795,0.94725997014803,6.76036036245824,6.08859244743544e-09,1.12913044825029e-07,10.2244875008299
"NT5DC2",2.24599197494069,2.66993422502182,6.75242796956885,6.28166795245149e-09,1.16306644994427e-07,10.1940148416443
"NHS",1.59338050239009,2.18929577346225,6.74848347183401,6.37993583822111e-09,1.17608461934132e-07,10.1788635317101
"NETO2",1.71868341901205,1.14272316333965,6.74078274324551,6.57621555371882e-09,1.20099569922268e-07,10.1492872796163
"UGGT1",1.45809436336109,6.87526031889291,6.74062772612908,6.58022784489581e-09,1.20099569922268e-07,10.1486919479254
"SEMA7A",1.84368798109149,2.16345223488108,6.73321067718617,6.77507889461902e-09,1.23265828153676e-07,10.1202093589351
"TCF7",1.37154967874517,4.24475263299197,6.72654450651751,6.95510195706148e-09,1.2594521361806e-07,10.0946136790783
"DLG5",1.18624262937797,4.53292263672915,6.70269842228914,7.63896521015364e-09,1.37038046188371e-07,10.0030803249786
"ACSL4",2.56103807572657,7.96301121180092,6.69507672731454,7.87135782251522e-09,1.4033402238441e-07,9.97383343349117
"ARHGEF3",1.40393793358866,4.38053529288147,6.67703148367425,8.45002234303151e-09,1.49038238114478e-07,9.90460585553433
"CUEDC1",1.22443923528542,3.00600559728777,6.66365783290971,8.90603228189311e-09,1.56126265002488e-07,9.85331649587063
"ITGA11",2.09787775422719,2.40472586090376,6.64972132725734,9.40731593412388e-09,1.63670270437585e-07,9.79988368934332
